iter	Logloss
0	0.6921976095
1	0.6913287742
2	0.6894237483
3	0.687398203
4	0.6854915307
5	0.6847846601
6	0.6830767936
7	0.6817418969
8	0.6803059557
9	0.6794570862
10	0.6776350643
11	0.6760579396
12	0.6749590335
13	0.67396973
14	0.673116517
15	0.6720348373
16	0.6708962406
17	0.6702846449
18	0.6694986436
19	0.6687506477
20	0.6676697688
21	0.6663640476
22	0.665864353
23	0.6644710554
24	0.6637457842
25	0.6630453783
26	0.6618368637
27	0.6614660128
28	0.6603565797
29	0.6598156382
30	0.6587786764
31	0.6577625708
32	0.657096012
33	0.6563631826
34	0.6555596973
35	0.6548668621
36	0.6544824251
37	0.6538983784
38	0.6532423593
39	0.6526679761
40	0.6522087719
41	0.6514129094
42	0.6508252569
43	0.6502510417
44	0.6498624872
45	0.6489762932
46	0.6482110623
47	0.6475661212
48	0.6469077974
49	0.6463883918
50	0.6460878992
51	0.6458525595
52	0.6455030835
53	0.6450467666
54	0.6443568719
55	0.6440783447
56	0.6438538025
57	0.6433791723
58	0.6425136184
59	0.6422982764
60	0.6418815681
61	0.6416579647
62	0.6413236725
63	0.64049284
64	0.6402740226
65	0.6397420835
66	0.6392889907
67	0.6390017681
68	0.6386577628
69	0.6384375196
70	0.637906759
71	0.6376483487
72	0.6373292245
73	0.63693732
74	0.6364299035
75	0.6359594821
76	0.635625821
77	0.6353044679
78	0.6350103184
79	0.6349707858
80	0.6347691048
81	0.6343726064
82	0.6339082574
83	0.6335320959
84	0.6327995565
85	0.6325472174
86	0.6322797498
87	0.631854012
88	0.6317019395
89	0.6314598005
90	0.6312091886
91	0.630961844
92	0.6308102393
93	0.6305660446
94	0.630251172
95	0.6300256982
96	0.6298666966
97	0.6293260805
98	0.6291448234
99	0.6284447608
100	0.6281117265
101	0.6278563228
102	0.6276209571
103	0.627279354
104	0.6270610623
105	0.6268086024
106	0.626598985
107	0.6264035764
108	0.6261424038
109	0.6259331722
110	0.6257474857
111	0.6253870751
112	0.6250646747
113	0.6248950554
114	0.6246032036
115	0.6245074444
116	0.6243679359
117	0.6240938256
118	0.623968511
119	0.6237602682
120	0.6234350065
121	0.6231264348
122	0.6227697071
123	0.622546969
124	0.6223153608
125	0.6220428662
126	0.6217341059
127	0.6215241268
128	0.6212701735
129	0.6211476275
130	0.6208709149
131	0.6207731099
132	0.6206057969
133	0.6203678417
134	0.6201576901
135	0.6197792413
136	0.6196027447
137	0.6193061978
138	0.6191700919
139	0.6189351963
140	0.6187071901
141	0.6186009039
142	0.6184482961
143	0.6182578544
144	0.618030799
145	0.617769001
146	0.6175653129
147	0.6173749305
148	0.6171251288
149	0.6167391213
150	0.6164654242
151	0.6162285236
152	0.6160289822
153	0.6156847306
154	0.6154467651
155	0.6152882848
156	0.6151616991
157	0.614946736
158	0.6146400927
159	0.6143103617
160	0.61414476
161	0.6140291709
162	0.6138406229
163	0.6135964009
164	0.6130002046
165	0.6128507127
166	0.6126800216
167	0.612475161
168	0.6121565185
169	0.6117924382
170	0.61152117
171	0.6112604668
172	0.6109585231
173	0.6106373735
174	0.6105010284
175	0.6102982071
176	0.6101784631
177	0.6097524001
178	0.6095240023
179	0.6092173363
180	0.6090656046
181	0.6089816196
182	0.60851164
183	0.6082251922
184	0.6080215549
185	0.6079426125
186	0.6077796916
187	0.6076019031
188	0.6073901312
189	0.6072335231
190	0.6069124115
191	0.6066319424
192	0.6064494844
193	0.6062683271
194	0.6061413948
195	0.6059036054
196	0.6056612232
197	0.6055615147
198	0.6052986326
199	0.6050642865
200	0.6048063321
201	0.6047491691
202	0.6045960666
203	0.6043757997
204	0.6041404456
205	0.6039940151
206	0.6038368972
207	0.6036362449
208	0.603344603
209	0.6031839681
210	0.6031341753
211	0.6030365948
212	0.6028020044
213	0.6025716524
214	0.6024485339
215	0.6023504263
216	0.6020627396
217	0.6018278592
218	0.601634324
219	0.60154819
220	0.6013920875
221	0.6012789577
222	0.6011089461
223	0.6007320493
224	0.6006025599
225	0.6003483861
226	0.6001391995
227	0.5999423682
228	0.5997885607
229	0.5996840756
230	0.5994919119
231	0.5993510501
232	0.5991773369
233	0.5990010054
234	0.5988566074
235	0.5986929375
236	0.5984257772
237	0.5982345718
238	0.5980989943
239	0.5980326572
240	0.5979356992
241	0.5974369062
242	0.5973218527
243	0.5971753464
244	0.5969866013
245	0.5968486993
246	0.5966595872
247	0.5965432679
248	0.596354179
249	0.5961211853
250	0.5959989858
251	0.5958255962
252	0.5956784937
253	0.5955107327
254	0.5953271628
255	0.5952412059
256	0.5950409939
257	0.5949302331
258	0.5947887714
259	0.5946016423
260	0.5945136451
261	0.5943243545
262	0.5941561694
263	0.5939876288
264	0.5935318229
265	0.5933172703
266	0.5931166914
267	0.5929341202
268	0.5928009715
269	0.5926642516
270	0.5925016648
271	0.5922078706
272	0.5920467607
273	0.5917299115
274	0.5915841341
275	0.5912696682
276	0.5908734289
277	0.5906921691
278	0.5906020576
279	0.5904878499
280	0.5903130279
281	0.5899374913
282	0.5898651908
283	0.589680934
284	0.5893231753
285	0.5891154001
286	0.5889881644
287	0.5887927525
288	0.5886957555
289	0.5885939826
290	0.5884599143
291	0.5883406087
292	0.5880916354
293	0.5879677807
294	0.587825823
295	0.5876120218
296	0.5874878185
297	0.5873734165
298	0.5873134285
299	0.5871522148
300	0.5870234582
301	0.5868572567
302	0.5867772633
303	0.5866901357
304	0.5865855682
305	0.586150941
306	0.5860661888
307	0.5860120627
308	0.5858700221
309	0.5856910694
310	0.5855467668
311	0.5853685845
312	0.5852231839
313	0.5851253204
314	0.5848911979
315	0.584732354
316	0.584560384
317	0.5844729
318	0.5842361216
319	0.5840953175
320	0.5839270133
321	0.5837543669
322	0.5835534269
323	0.583428991
324	0.5833577684
325	0.5831690235
326	0.583076467
327	0.582782975
328	0.5826662622
329	0.5824840297
330	0.5824169509
331	0.5822788845
332	0.5822297718
333	0.5820294485
334	0.5818601561
335	0.581624995
336	0.5813897151
337	0.5812820993
338	0.5812028538
339	0.5810535825
340	0.5809007853
341	0.5808134647
342	0.5806667689
343	0.5805464826
344	0.5802416486
345	0.5801845118
346	0.5800989508
347	0.579901291
348	0.5797904805
349	0.5796289171
350	0.5793858965
351	0.5792012232
352	0.5789996872
353	0.5788497684
354	0.5787919301
355	0.5786368763
356	0.5785070433
357	0.5782934497
358	0.5780996086
359	0.5779525178
360	0.5778494522
361	0.5777105495
362	0.5775421965
363	0.5774173484
364	0.5771125248
365	0.576943331
366	0.5767964695
367	0.5766694843
368	0.5765188261
369	0.5763540531
370	0.5761810719
371	0.5760105942
372	0.575840906
373	0.5757050505
374	0.5755491398
375	0.5753350058
376	0.5752596983
377	0.5748906039
378	0.5747504401
379	0.5746342902
380	0.5745250042
381	0.5743294715
382	0.5742543539
383	0.5741744742
384	0.5740529744
385	0.573706537
386	0.5734401375
387	0.5733466065
388	0.5731894219
389	0.5730156912
390	0.5727911048
391	0.5724899751
392	0.572171545
393	0.5719684581
394	0.5718028657
395	0.5716070637
396	0.5714544297
397	0.5713295011
398	0.5711936263
399	0.5709350433
400	0.5707525762
401	0.5706513915
402	0.5704728509
403	0.5702137927
404	0.5698473155
405	0.5697146093
406	0.5695638274
407	0.5693723004
408	0.5688730411
409	0.5686836246
410	0.5685176715
411	0.5683430229
412	0.5682106831
413	0.5680119821
414	0.567866503
415	0.5677160829
416	0.5674923704
417	0.5673647106
418	0.5669962193
419	0.5668529245
420	0.5667081595
421	0.5665979819
422	0.5662888528
423	0.5661971961
424	0.56610688
425	0.5658727875
426	0.5658159888
427	0.5656687677
428	0.5654953441
429	0.5651832251
430	0.565103069
431	0.5650284408
432	0.5649887489
433	0.5647434889
434	0.5646040679
435	0.5644432713
436	0.5642524476
437	0.5639438938
438	0.5637813567
439	0.5637140704
440	0.563542202
441	0.5633380815
442	0.5632650273
443	0.562742629
444	0.5625807817
445	0.5624061263
446	0.5622510386
447	0.5620835398
448	0.5617649728
449	0.5614018695
450	0.5611751008
451	0.5609787876
452	0.5608021855
453	0.5606039977
454	0.5604130383
455	0.5603383256
456	0.5602562669
457	0.5600032893
458	0.5598440299
